02:14:21    0 ****************************************************
02:14:21    0 ** Dragonfly version 4.20 **
02:14:21    0 ** Game engine started **
02:15:01 1203 Server::handleData(): PING sent to all clients.
02:15:01 1207 Server::handleData(): PING sent to all clients.
02:15:02 1218 Server::handleData(): PING sent to all clients.
02:15:02 1222 Server::handleData(): PING sent to all clients.
02:15:02 1233 Server::handleData(): PING sent to all clients.
02:15:02 1237 Server::handleData(): PING sent to all clients.
02:15:03 1248 Server::handleData(): PING sent to all clients.
02:15:03 1252 Server::handleData(): PING sent to all clients.
02:15:03 1263 Server::handleData(): PING sent to all clients.
02:15:03 1267 Server::handleData(): PING sent to all clients.
02:15:04 1278 Server::handleData(): PING sent to all clients.
02:15:04 1282 Server::handleData(): PING sent to all clients.
02:15:04 1293 Server::handleData(): PING sent to all clients.
02:15:04 1297 Server::handleData(): PING sent to all clients.
02:15:05 1308 Server::handleData(): PING sent to all clients.
02:15:05 1312 Server::handleData(): PING sent to all clients.
02:15:05 1323 Server::handleData(): PING sent to all clients.
02:15:05 1327 Server::handleData(): PING sent to all clients.
02:15:06 1338 Server::handleData(): PING sent to all clients.
02:15:06 1342 Server::handleData(): PING sent to all clients.
02:15:06 1353 Server::handleData(): PING sent to all clients.
02:15:06 1357 Server::handleData(): PING sent to all clients.
02:15:07 1368 Server::handleData(): PING sent to all clients.
02:15:07 1372 Server::handleData(): PING sent to all clients.
02:15:07 1383 Server::handleData(): PING sent to all clients.
02:15:07 1387 Server::handleData(): PING sent to all clients.
02:15:08 1398 Server::handleData(): PING sent to all clients.
02:15:08 1402 Server::handleData(): PING sent to all clients.
02:15:08 1413 Server::handleData(): PING sent to all clients.
02:15:08 1417 Server::handleData(): PING sent to all clients.
02:15:09 1428 Server::handleData(): PING sent to all clients.
02:15:09 1432 Server::handleData(): PING sent to all clients.
02:15:09 1443 Server::handleData(): PING sent to all clients.
02:15:09 1448 Server::handleData(): PING sent to all clients.
02:15:10 1458 Server::handleData(): PING sent to all clients.
02:15:10 1462 Server::handleData(): PING sent to all clients.
02:15:10 1473 Server::handleData(): PING sent to all clients.
02:15:10 1478 Server::handleData(): PING sent to all clients.
02:15:10 1488 Server::handleData(): PING sent to all clients.
02:15:11 1492 Server::handleData(): PING sent to all clients.
02:15:11 1504 Server::handleData(): PING sent to all clients.
02:15:11 1507 Server::handleData(): PING sent to all clients.
02:15:12 1519 Server::handleData(): PING sent to all clients.
02:15:12 1522 Server::handleData(): PING sent to all clients.
02:15:12 1534 Server::handleData(): PING sent to all clients.
02:15:12 1538 Server::handleData(): PING sent to all clients.
02:15:13 1549 Server::handleData(): PING sent to all clients.
02:15:13 1552 Server::handleData(): PING sent to all clients.
02:15:13 1564 Server::handleData(): PING sent to all clients.
02:15:13 1567 Server::handleData(): PING sent to all clients.
02:15:13 1579 Server::handleData(): PING sent to all clients.
02:15:14 1583 Server::handleData(): PING sent to all clients.
02:15:14 1594 Server::handleData(): PING sent to all clients.
02:15:14 1597 Server::handleData(): PING sent to all clients.
02:15:14 1609 Server::handleData(): PING sent to all clients.
02:15:15 1612 Server::handleData(): PING sent to all clients.
02:15:15 1624 Server::handleData(): PING sent to all clients.
02:15:15 1627 Server::handleData(): PING sent to all clients.
02:15:15 1639 Server::handleData(): PING sent to all clients.
02:15:16 1643 Server::handleData(): PING sent to all clients.
02:15:16 1654 Server::handleData(): PING sent to all clients.
02:15:16 1657 Server::handleData(): PING sent to all clients.
02:15:16 1669 Server::handleData(): PING sent to all clients.
02:15:17 1673 Server::handleData(): PING sent to all clients.
02:15:17 1684 Server::handleData(): PING sent to all clients.
02:15:17 1687 Server::handleData(): PING sent to all clients.
02:15:17 1699 Server::handleData(): PING sent to all clients.
02:15:18 1703 Server::handleData(): PING sent to all clients.
02:15:18 1714 Server::handleData(): PING sent to all clients.
02:15:18 1718 Server::handleData(): PING sent to all clients.
02:15:18 1729 Server::handleData(): PING sent to all clients.
02:15:19 1733 Server::handleData(): PING sent to all clients.
02:15:19 1744 Server::handleData(): PING sent to all clients.
02:15:19 1747 Server::handleData(): PING sent to all clients.
02:15:19 1759 Server::handleData(): PING sent to all clients.
02:15:20 1762 Server::handleData(): PING sent to all clients.
02:15:20 1774 Server::handleData(): PING sent to all clients.
02:15:20 1777 Server::handleData(): PING sent to all clients.
02:15:20 1789 Server::handleData(): PING sent to all clients.
02:15:21 1793 Server::handleData(): PING sent to all clients.
02:15:21 1804 Server::handleData(): PING sent to all clients.
02:15:21 1808 Server::handleData(): PING sent to all clients.
02:15:21 1819 Server::handleData(): PING sent to all clients.
02:15:22 1823 Server::handleData(): PING sent to all clients.
02:15:22 1834 Server::handleData(): PING sent to all clients.
02:15:22 1838 Server::handleData(): PING sent to all clients.
02:15:22 1849 Server::handleData(): PING sent to all clients.
02:15:23 1852 Server::handleData(): PING sent to all clients.
02:15:23 1864 Server::handleData(): PING sent to all clients.
02:15:23 1868 Server::handleData(): PING sent to all clients.
02:15:23 1879 Server::handleData(): PING sent to all clients.
02:15:24 1883 Server::handleData(): PING sent to all clients.
02:15:24 1894 Server::handleData(): PING sent to all clients.
02:15:24 1897 Server::handleData(): PING sent to all clients.
02:15:24 1909 Server::handleData(): PING sent to all clients.
02:15:24 1912 Server::handleData(): PING sent to all clients.
02:15:25 1924 Server::handleData(): PING sent to all clients.
02:15:25 1928 Server::handleData(): PING sent to all clients.
02:15:25 1939 Server::handleData(): PING sent to all clients.
02:15:26 1944 Server::handleData(): PING sent to all clients.
02:15:26 1955 Server::handleData(): PING sent to all clients.
02:15:26 1959 Server::handleData(): PING sent to all clients.
02:15:26 1970 Server::handleData(): PING sent to all clients.
02:15:27 1974 Server::handleData(): PING sent to all clients.
02:15:27 1985 Server::handleData(): PING sent to all clients.
02:15:27 1989 Server::handleData(): PING sent to all clients.
02:15:27 2000 Server::handleData(): PING sent to all clients.
02:15:28 2004 Server::handleData(): PING sent to all clients.
02:15:28 2015 Server::handleData(): PING sent to all clients.
02:15:28 2019 Server::handleData(): PING sent to all clients.
02:15:28 2030 Server::handleData(): PING sent to all clients.
02:15:29 2034 Server::handleData(): PING sent to all clients.
02:15:29 2045 Server::handleData(): PING sent to all clients.
02:15:29 2049 Server::handleData(): PING sent to all clients.
02:15:29 2060 Server::handleData(): PING sent to all clients.
02:15:30 2064 Server::handleData(): PING sent to all clients.
02:15:30 2075 Server::handleData(): PING sent to all clients.
02:15:30 2079 Server::handleData(): PING sent to all clients.
02:15:30 2090 Server::handleData(): PING sent to all clients.
02:15:30 2094 Server::handleData(): PING sent to all clients.
02:15:31 2105 Server::handleData(): PING sent to all clients.
02:15:31 2109 Server::handleData(): PING sent to all clients.
02:15:31 2120 Server::handleData(): PING sent to all clients.
02:15:31 2124 Server::handleData(): PING sent to all clients.
02:15:32 2135 Server::handleData(): PING sent to all clients.
02:15:32 2139 Server::handleData(): PING sent to all clients.
02:15:32 2150 Server::handleData(): PING sent to all clients.
02:15:32 2154 Server::handleData(): PING sent to all clients.
02:15:33 2165 Server::handleData(): PING sent to all clients.
02:15:33 2169 Server::handleData(): PING sent to all clients.
02:15:33 2180 Server::handleData(): PING sent to all clients.
02:15:33 2184 Server::handleData(): PING sent to all clients.
02:15:34 2195 Server::handleData(): PING sent to all clients.
02:15:34 2199 Server::handleData(): PING sent to all clients.
02:15:34 2210 Server::handleData(): PING sent to all clients.
02:15:34 2212 ****************************************************
02:15:34 2212 ** Game engine stopped **
